Arlene_Date,Arlene_caseload
12/20/2019,22
12/21/2019,22
12/22/2019,22
12/23/2019,22
12/24/2019,22
12/25/2019,22
12/26/2019,22
12/27/2019,22
12/28/2019,22
12/29/2019,22
12/30/2019,21
12/31/2019,21
1/1/2020,22
1/2/2020,22
1/3/2020,22
1/4/2020,22
1/5/2020,20
1/6/2020,21
1/7/2020,22
1/8/2020,21
1/9/2020,20
1/10/2020,20
1/11/2020,20
1/12/2020,20
1/13/2020,20
1/14/2020,20
1/15/2020,19
1/16/2020,19
1/17/2020,15
1/18/2020,15
1/19/2020,15
1/20/2020,15
1/21/2020,15
1/22/2020,15
1/23/2020,15
1/24/2020,15
1/25/2020,15
1/26/2020,15
1/27/2020,14
1/28/2020,13
1/29/2020,12
1/30/2020,12
1/31/2020,12
