Alexa_Date,Alexa_caseload
12/20/2019,16
12/21/2019,17
12/22/2019,17
12/23/2019,17
12/24/2019,17
12/25/2019,17
12/26/2019,17
12/27/2019,16
12/28/2019,16
12/29/2019,17
12/30/2019,16
12/31/2019,16
1/1/2020,16
1/2/2020,15
1/3/2020,15
1/4/2020,15
1/5/2020,15
1/6/2020,14
1/7/2020,14
1/8/2020,14
1/9/2020,14
1/10/2020,14
1/11/2020,13
1/12/2020,13
1/13/2020,13
1/14/2020,11
1/15/2020,11
1/16/2020,11
1/17/2020,11
1/18/2020,11
1/19/2020,11
1/20/2020,11
1/21/2020,11
1/22/2020,11
1/23/2020,11
1/24/2020,11
1/25/2020,11
1/26/2020,11
1/27/2020,11
1/28/2020,11
1/29/2020,11
1/30/2020,11
1/31/2020,11
