Date	caseload_Team
12/21/2019	59
12/22/2019	59
12/23/2019	57
12/24/2019	57
12/25/2019	57
12/26/2019	57
12/27/2019	56
12/28/2019	56
12/29/2019	57
12/30/2019	55
12/31/2019	55
1/1/2020	56
1/2/2020	55
1/3/2020	55
1/4/2020	55
1/5/2020	54
1/6/2020	55
1/7/2020	55
1/8/2020	54
1/9/2020	52
1/10/2020	52
1/11/2020	51
1/12/2020	51
1/13/2020	53
1/14/2020	49
1/15/2020	48
1/16/2020	49
1/17/2020	45
1/18/2020	45
1/19/2020	45
1/20/2020	45
1/21/2020	45
1/22/2020	45
1/23/2020	46
1/24/2020	46
1/25/2020	47
1/26/2020	47
1/27/2020	46
1/28/2020	46
1/29/2020	45
1/30/2020	46
1/31/2020	47
